0.0010344,-2.7807e-05,2.7689e-05,0.00050331,0.00053112
0.0010485,-2.6988e-05,2.7803e-05,0.00051074,0.00053773
0.0010578,-2.7406e-05,2.7988e-05,0.00051518,0.00054259
0.0010707,-2.7089e-05,2.8295e-05,0.00052178,0.00054887
0.0010814,-2.6833e-05,2.8617e-05,0.00052728,0.00055411
0.0010911,-2.6623e-05,2.88e-05,0.00053224,0.00055886
0.0011049,-2.7709e-05,2.8933e-05,0.00053859,0.00056629
0.0011103,-2.7415e-05,2.922e-05,0.00054143,0.00056885
0.0011231,-2.6726e-05,2.9499e-05,0.0005482,0.00057492
0.0011364,-2.5946e-05,2.9563e-05,0.0005552,0.00058115
0.0011477,-2.5777e-05,2.9862e-05,0.00056095,0.00058672
0.0011557,-2.5325e-05,3.0038e-05,0.00056517,0.0005905
0.0011686,-2.5281e-05,3.0237e-05,0.00057168,0.00059696
0.001178,-2.5148e-05,3.0398e-05,0.00057641,0.00060156
0.0011897,-2.4679e-05,3.0545e-05,0.0005825,0.00060718
0.001201,-2.4418e-05,3.0858e-05,0.00058831,0.00061273
0.0012115,-2.4029e-05,3.1077e-05,0.00059374,0.00061777
0.0012263,-2.389e-05,3.1285e-05,0.00060119,0.00062508
0.001241,-2.2529e-05,3.1473e-05,0.00060924,0.00063177
0.0012582,-2.2026e-05,3.1544e-05,0.00061807,0.0006401
0.0012685,-2.1402e-05,3.1643e-05,0.00062354,0.00064494
0.0012754,-2.1506e-05,3.1955e-05,0.00062696,0.00064847
0.0012889,-2.1056e-05,3.2031e-05,0.00063394,0.000655
0.0013019,-2.0267e-05,3.2292e-05,0.00064082,0.00066109
0.0013075,-2.0547e-05,3.2371e-05,0.00064349,0.00066404
0.0013127,-2.0819e-05,3.2547e-05,0.00064592,0.00066674
0.0013215,-2.0841e-05,3.2778e-05,0.00065035,0.00067119
0.00133,-2.0612e-05,3.2943e-05,0.0006547,0.00067531
0.0013425,-2.0997e-05,3.3014e-05,0.00066076,0.00068176
0.0013413,-2.0022e-05,3.3146e-05,0.00066066,0.00068068
0.0013527,-1.9721e-05,3.329e-05,0.00066648,0.0006862
